user_url,username,current_school,user_major,hometown,gender,ethnicity,English_FL,Admission,class_of,first_gen,accepted_schools,waitlisted_schools,rejected_schools,legacy,GPA_measure,GPA,rank,num_of_Essays,num_of_Scores,num_of_Advice,num_of_ECs,num_of_Sports,num_of_schools,SAT,ACT
https://www.admitsee.com/profile-detail/459999,"marialaura,",Harvard,"B.A., Computational and Applied Mathematics","
Topeka, Kansas",Female,White Non-Hispanic,,,2020,No,Harvard,N/A,N/A,Sibling,,"4.90
GPA",,"2
Essays","20
Scores","12
Advice","8
ECs","1
Sports","1
Schools","1590
SAT","36
ACT"
https://www.admitsee.com/profile-detail/373581,"amustoe,",Harvard,"B.A., Neuroscience and Neurobiology","
Salinas, California",Female,White Non-Hispanic,,,2020,No,"Harvard, UC Berkeley, UCLA, Georgetown, Davidson, Santa Clara, UVA","Duke, JHU, UChicago, Vanderbilt, WashU","Yale, Brown, Northwestern, Stanford, Tufts",Parent + 2 more,,"4.00
GPA",,"8
Essays","10
Scores","7
Advice","5
ECs","5
Sports","17
Schools","1510
SAT","31
ACT"
https://www.admitsee.com/profile-detail/349777,"tinternabbey,",Yale,"B.A., Undecided","
San Diego, California",Female,Asian,,,2015,No,"Yale, Stanford, Harvard, Brown, UC Berkeley, UCSD, UC Irvine, USC, Pomona",N/A,N/A,No,,"4.83
GPA",,"2
Essays","19
Scores","11
Advice","6
ECs","2
Sports","9
Schools",,"34
ACT"
https://www.admitsee.com/profile-detail/337893,"Harvard21,",Harvard,"B.S., Biomedical Sciences and Molecular Medicine","
Toronto, Canada",Male,White Non-Hispanic,,,2021,No,"Harvard, Dartmouth, UPenn, UToronto, McGill, McMaster",Yale,"Princeton, MIT, Stanford, Columbia, JHU",No,,"4.40
GPA",,"18
Essays","14
Scores","18
Advice","12
ECs","0
Sports","12
Schools","2200
SAT",
https://www.admitsee.com/profile-detail/334915,"Aus10,",Harvard,"B.A., Economics","
Pierre, South Dakota",Male,White Non-Hispanic,,,2020,No,"Harvard, Notre Dame, West Point, Berklee, U of Minnesota, SD State, Creighton , Augie",Yale,N/A,No,,"4.00
GPA",,"10
Essays","11
Scores","5
Advice","17
ECs","3
Sports","9
Schools",,"36
ACT"
https://www.admitsee.com/profile-detail/328504,"clee94,",Harvard,"B.A., Economics","
Pasadena, California",Male,Asian,,,2017,No,"Harvard, UVA, USC",N/A,Stanford,Parent,,"3.99
GPA",,"3
Essays","11
Scores","10
Advice","4
ECs","2
Sports","4
Schools","1590
SAT",
https://www.admitsee.com/profile-detail/315122,"2021stanford,",Stanford,"B.S., Computer Science","
Bethesda, Maryland",Male,Asian,,,2021,No,"Stanford, Harvard, MIT, UC Berkeley",N/A,N/A,No,,"4.50
GPA",,"6
Essays","16
Scores","11
Advice","3
ECs","4
Sports","4
Schools","1560
SAT","36
ACT"
https://www.admitsee.com/profile-detail/257451,"w_quan,",Harvard,"B.A., Political Science and Government","
Somerville, Massachusetts",Male,"Asian, White Non-Hispanic",,,2020,No,Harvard,UMass,N/A,Grandparent,,"4.50
GPA",,"3
Essays","14
Scores","16
Advice","6
ECs","2
Sports","2
Schools","1540
SAT",
https://www.admitsee.com/profile-detail/229381,"b_rod,",Harvard,"B.S., Mechanical Engineering","
Agoura Hills, California",Male,Hispanic,Yes,Early Action,2020,,"Harvard, Yale, MIT, Columbia, UVA",N/A,N/A,No,,"4.50
GPA",,"4
Essays","14
Scores","16
Advice","5
ECs","2
Sports","5
Schools","1550
SAT",
https://www.admitsee.com/profile-detail/229169,"theginger,",Harvard,"B.A., Psychology","
Philadelphia, Pennsylvania",Female,White Non-Hispanic,,,2021,No,"Harvard, Yale, Brown, UPenn, Bowdoin, Amherst, Wesleyan, Georgetown, BC, Swarthmore","Columbia, Tufts",Princeton,Parent,,"4.35
GPA",,"8
Essays","5
Scores","7
Advice","3
ECs","1
Sports","13
Schools","1570
SAT",
https://www.admitsee.com/profile-detail/226559,"caitlynatyale,",Yale,"B.A., Political Science and Government","
Central Valley, CA, California",Female,White Non-Hispanic,Yes,,2020,Yes,"Yale, Harvard, Stanford, Brown, UC Berkeley, Pomona, UCSB, Pepperdine, Wellesley, UCLA, USC",Claremont (CMC),N/A,No,,"4.30
GPA",,"13
Essays","10
Scores","9
Advice","9
ECs","2
Sports","12
Schools","1520
SAT","33
ACT"
https://www.admitsee.com/profile-detail/191606,"harvardredhead,",Harvard,"B.A., Neuroscience and Neurobiology","
Monument, Colorado",Female,White Non-Hispanic,Yes,Regular Decision,2020,,"Harvard, JHU, UPenn, UVA, Colorado, BU","MIT, UChicago, Tulane, UMich - Dearborn","Stanford, Princeton, Georgetown, Yale, Brown, Columbia, Tufts",No,,"4.40
GPA",,"6
Essays","15
Scores","14
Advice","8
ECs","1
Sports","17
Schools","1580
SAT",
https://www.admitsee.com/profile-detail/186496,"Serena2020,",Harvard,"B.A., Molecular Biology","
West Bloomfield, Michigan",Female,Black / African American,Yes,Early Action,2019,No,"Harvard, UChicago, Northwestern, Swarthmore, Emory, Oklahoma U, UKentucky, K College , OU, Alma","Rice, Yale, Pomona",Princeton,No,,"4.33
GPA",,"11
Essays","13
Scores","10
Advice","7
ECs","0
Sports","14
Schools","1560
SAT",
https://www.admitsee.com/profile-detail/185027,"htownbrown,",Stanford,"B.A., Political Science and Government","
Houston, Texas",Male,Black / African American,Yes,,2022,,"Stanford, Harvard, Princeton, Yale, UPenn, Pomona, Williams, Amherst, Claremont (CMC), Northwestern, Vanderbilt, USC, JHU, UC Berkeley, UT Austin, UNC, Tulane, UMich, Georgetown",N/A,N/A,No,,"4.72
GPA",,"35
Essays","24
Scores","6
Advice","13
ECs","1
Sports","19
Schools","1530
SAT","34
ACT"
https://www.admitsee.com/profile-detail/123173,"elle2020,",Brown,"B.A., Economics","
Philadelphia, Pennsylvania",Female,White Non-Hispanic,Yes,Regular Decision,2020,No,"Brown, UPenn, Wellesley, Kenyon, Macalester, Holyoke, Harvard, Bowdoin","Pomona, Swarthmore","Yale, Princeton, Dartmouth, Amherst",No,,"4.15
GPA",,"11
Essays","8
Scores","22
Advice","9
ECs","1
Sports","14
Schools","1530
SAT","35
ACT"
